employee_id,name,department,salary,age,join_date
1,Emp001,IT,59850.0,58,2021-11-06
2,Emp002,Support,89701.0,28,2023-01-15
3,Emp003,Support,60712.0,23,2021-05-25
4,Emp004,HR,79213.0,46,2021-11-01
5,Emp005,R&D,,38,2022-12-13
6,Emp006,Support,43047.0,45,2023-08-30
7,Emp007,IT,59272.0,29,2023-09-27
8,Emp008,Sales,58108.0,52,2023-09-18
9,Emp009,Finance,50530.0,27,2021-10-23
10,Emp010,IT,78775.0,43,2022-06-27
11,Emp011,Sales,72372.0,32,2023-11-24
12,Emp012,IT,57514.0,35,2023-12-18
13,Emp013,Finance,56950.0,31,2024-01-18
14,Emp014,IT,93681.0,55,2022-09-03
15,Emp015,R&D,88995.0,27,2022-06-19
16,Emp016,Support,48641.0,45,2021-12-09
17,Emp017,Finance,64733.0,36,2023-12-27
18,Emp018,Support,95679.0,54,2022-11-07
19,Emp019,R&D,70205.0,36,2022-02-04
20,Emp020,HR,87032.0,47,2022-04-10
21,Emp021,HR,62198.0,55,2023-10-07
22,Emp022,Finance,36191.0,23,2021-02-27
23,Emp023,Finance,,52,2022-06-15
24,Emp024,HR,64231.0,44,2023-07-05
25,Emp025,R&D,,44,2023-01-17
